"designation","is_creation_needed_in_unee_t","unee_t_unit_type","is_obsolete","order","area_id","description","tower","address_1","address_2","zip_postal_code","city","state","country_code","external_id","external_system_id","external_table","created_by_id","syst_created_datetime","creation_system_id","creation_method","updated_by_id","syst_updated_datetime","update_system_id","update_method"
"Heritage View - B","1","Condominium","0","30","One North","  .","B","10 Dover Rise","","138680","Singapore","","Singapore","3","ipi_hmlet","db_sourcing_ls_0_condo","2"
"One North - C","1","Condominium","0","40","One North"," .","C","7 OneNorth Gateway","","138642","Singapore","","Singapore","7","ipi_hmlet","db_sourcing_ls_0_condo","2"
"One North - D","1","Condominium","0","40","One North","  .","D","7 OneNorth Gateway","","138642","Singapore","","Singapore","7","ipi_hmlet","db_sourcing_ls_0_condo","2"
"One North - F","1","Condominium","0","40","One North","  .","F","7 OneNorth Gateway","","138642","Singapore","","Singapore","7","ipi_hmlet","db_sourcing_ls_0_condo","2"
"One North - H","1","Condominium","0","40","One North","  .","H","7 OneNorth Gateway","","138642","Singapore","","Singapore","7","ipi_hmlet","db_sourcing_ls_0_condo","2"
"One North - K","1","Condominium","0","40","One North","  .","K","9 OneNorth Gateway","","138643","Singapore","","Singapore","7","ipi_hmlet","db_sourcing_ls_0_condo","2"
"One North - G","1","Condominium","0","40","One North","  .","G","7 OneNorth Gateway","","138642","Singapore","","Singapore","7","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Parc - 3","1","Condominium","0","50","Clementi West Coast","  .","3","3 West Coast Walk","","127140","Singapore","","Singapore","10","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Parc - 5","1","Condominium","0","50","Clementi West Coast","  .","5","5 West Coast Walk","","127146","Singapore","","Singapore","10","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Parc - 9","1","Condominium","0","50","Clementi West Coast","  .","9","9 West Coast Walk","","127160","Singapore","","Singapore","10","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Parc - 11","1","Condominium","0","50","Clementi West Coast","  .","11","11 West Coast Walk","","127161","Singapore","","Singapore","10","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Heritage View - C","1","Condominium","0","30","One North","  .","C","6 Dover Rise","","138678","Singapore","","Singapore","3","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Parc - 7","1","Condominium","0","50","Clementi West Coast","  .","7","7 West Coast Walk","","127159","Singapore","","Singapore","10","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Ford @ Holland - 2","1","Condominium","0","80","Holland Village"," .","2","1 Ford Avenue","","268685","Singapore","","Singapore","14","ipi_hmlet","db_sourcing_ls_0_condo","2"
"One North - B","1","Condominium","0","40","One North"," .","B","7 OneNorth Gateway","","138642","Singapore","","Singapore","7","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Principal Garden - 1","1","Condominium","0","","Redhill"," .","1","97 Prince Charles Crescent","","159026","Singapore","","Singapore","53","ipi_hmlet","db_sourcing_ls_0_condo","2"
"UES - 2","1","Condominium","0","0","River Valley","","2","207 River Valley Road","","238275","Singapore","","Singapore","36","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Varsity Park - 38","1","Condominium","0","110","West","  .","38","West Coast Road","","127452","Singapore","","Singapore","20","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Emerald Garden - 1","1","Condominium","0","0","River Valley","  .","1","","","","","","Singapore","50","ipi_hmlet","db_sourcing_ls_0_condo","2"
