"designation","is_creation_needed_in_unee_t","unee_t_unit_type","is_obsolete","order","area_id","description","tower","address_1","address_2","zip_postal_code","city","state","country_code","external_id","external_system_id","external_table","created_by_id","syst_created_datetime","creation_system_id","creation_method","updated_by_id","syst_updated_datetime","update_system_id","update_method"
"Seahill - 119","0","Condominium","1","150","West","  .","119","119 West Coast Crescent ","","126777","Singapore","","Singapore","23","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Park Imperial - 1","0","Condominium","1","160","West","  .","1","253 Pasir Panjang rd","","118618","Singapore","","Singapore","24","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Foresta@Mount Faber - 1","0","Condominium","1","90","UNKNOWN","  .","1","100, Wishart Road","","98748","Singapore","","Singapore","15","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Foresta@Mount Faber - 2","0","Condominium","1","90","UNKNOWN","  .","2","102, Wishart Road","","98749","Singapore","","Singapore","15","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Foresta@Mount Faber - 6","0","Condominium","1","90","UNKNOWN","  .","6","106, Wishart Road ","","98751","Singapore","","Singapore","15","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Tulip Garden - T1","0","Condominium","1","100","UNKNOWN","  .","T1","1 Farrer Road","","268817","Singapore","","Singapore","11","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Holland Zion - 1","0","Condominium","1","100","UNKNOWN","  .","1","23, Holland Rise","","278711","Singapore","","Singapore","4","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Leedon Height - 18","0","Condominium","1","100","UNKNOWN","  .","18","18 Leedon Height","","267938","Singapore","","Singapore","5","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Nautical - 93","0","Condominium","1","170","UNKNOWN","  .","93","93 Jln Sendudock","","769472","Singapore","","Singapore","25","ipi_hmlet","db_sourcing_ls_0_condo","2"
"The Nautical - 99","0","Condominium","1","170","UNKNOWN","  .","99","99 Jln Sendudock","","769475","Singapore","","Singapore","25","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Canberra Residences - 501","0","Condominium","1","180","UNKNOWN","  .","501","501 Canberra Drive","","768124","Singapore","","Singapore","26","ipi_hmlet","db_sourcing_ls_0_condo","2"
"Canberra Residences - 503","0","Condominium","1","180","UNKNOWN","  .","503","Canberra Drive","","768125","Singapore","","Singapore","26","ipi_hmlet","db_sourcing_ls_0_condo","2"
